Starting data loading
I
AM
SO
BORED
Finished data loading
Running 1000000 iteration over 22 epochs
<bound method Tensor.get_shape of <tf.Tensor 'cross_entropy/Mean:0' shape=() dtype=float32>>
(TensorShape([Dimension(None), Dimension(80), Dimension(80)]), TensorShape([Dimension(None), Dimension(10)]), TensorShape([Dimension(None), Dimension(10)]), (TensorShape([Dimension(None), Dimension(80), Dimension(80)]), TensorShape([Dimension(None), Dimension(10)]), TensorShape([Dimension(None)])))
--------------------Running Epoch 0--------------------
  1.3963729  -2.708519    1.2069988   0.8730284 ]
[ 2.2301877  -4.686083    1.8249588   3.383365   -0.21564928 -1.1586972
  0.02132943 -1.8813913   1.0371139   1.0710136 ]
[ 1.694986   -4.357196   -0.10153754  3.4401102   0.8852408  -1.9890028
  1.0184844  -2.3176165   1.0739472   1.0845987 ]
[ 2.797712   -7.564484    0.65302074  5.079597    2.1579247  -2.2823203
 -1.8723043  -1.5466967   2.1459508   1.2700653 ]
[ 1.8468835 -6.56182    0.9971944  4.4416285  1.0539185 -3.1797922
  1.3102713 -2.037538   1.6621296  2.070796 ]
[ 2.2055535  -5.944577    1.8186008   2.2921145   0.49977285 -1.5977432
  0.31441417 -1.3532827   1.6428173   2.1485488 ]
[ 1.8107183  -4.794076   -0.38189054  4.631398    1.1766973  -1.5947701
  2.5680063  -2.6877544   0.92701155  1.2063032 ]
[ 0.98217106 -1.480209   -0.27781922  3.3989143   0.09709319 -0.46613184
  1.5668714  -2.6027467  -0.11077857  0.91719097]
[ 1.7569968  -8.481075   -0.26933157  6.7429647   2.6489384  -4.4560604
 -0.19024798 -0.98682266  2.9934192   0.43698183]
[ 1.6504782  -9.936369   -0.17912342  4.963372    3.4574227  -4.8653884
  2.8854325  -0.59574515  2.1686702   1.794082  ]
[ 1.2306137  -6.3356333  -0.9256941   4.7568703   1.8773576  -2.0540638
 -0.17532587 -0.40111464  1.5201433   1.2988358 ]
[ 0.92404425 -4.9099436   0.99731505  4.7317834   0.3944141  -3.1209493
  2.139506   -2.349144    1.4491923   1.5113832 ]
[ 0.92404425 -4.9099436   0.99731505  4.7317834   0.3944141  -3.1209493
  2.139506   -2.349144    1.4491923   1.5113832 ]
[ 2.1351883  -9.070329   -0.9032351   5.932299    2.692563   -4.2440224
  1.2852807  -0.99486953  2.869989    0.70986235]
[ 1.5261087  -5.342554    2.962406    6.0548477  -1.3354541  -2.0909035
  0.17466542 -0.21137327  0.70076734  2.3104672 ]
()
326.0
[0.66666675, 1.0, 1.0]
[ 3.1041827  -3.2405217   1.3634804   3.5678372  -0.8285028  -0.38538
 -5.717127   -1.6734083   3.4019887  -0.23399934]
[ 2.8988671  -4.898735    1.1456479   2.471261    0.65469146 -0.7230923
 -1.2154046  -0.514162    0.9461027   1.0546292 ]
[ 2.987535   -4.8416524  -0.14847542  0.31323588  1.6668987  -1.1178575
  1.9532722  -2.7832456   0.96986574  0.59083736]
[ 3.076912   -2.7377534   0.97909904 -0.35744366 -0.16769612  1.4045893
 -0.64482224 -1.832649    0.5802832   0.51018214]
[ 2.8988671  -4.898735    1.1456479   2.471261    0.65469146 -0.7230923
 -1.2154046  -0.514162    0.9461027   1.0546292 ]
[ 2.6769495  -4.6427755   0.17605172 -0.14954028  1.30416    -1.4317118
  2.0019739  -2.2744694   1.5478928   0.12886825]
[ 2.7192774  -5.497394   -0.17594935  2.1297982   1.1833355  -2.265641
  0.79836345 -1.5056014   1.6024442   1.0007547 ]
[ 2.7985096  -2.371041    1.4378809   1.5429145  -0.02253184 -0.36329445
 -1.9929386  -2.4504766   2.4633224  -1.1573254 ]
[  1.767246   -11.105702    -1.8750446    4.362169     4.089591
  -3.867068    -0.3548527   -0.50820893   3.893479    -0.55929446]
[ 1.6699321  -3.8235433  -0.4132722   2.4914706   1.6587619  -0.40932432
 -1.1796855  -0.5190772   1.1168156  -0.20582685]
[ 2.8380222  -4.7934732   0.11243723 -0.22629228  1.3305792  -1.3898867
  2.0843723  -2.2472944   1.4561408   0.25415275]
[ 1.5931069  -8.01379    -1.3885481   4.403174    2.4461663  -2.8762298
 -1.0843157  -0.40909964  4.251243   -0.17480144]
[ 1.5146115  -5.3651247   0.12907623  5.37996     1.357834   -2.6745894
  0.7720609  -1.9015794   2.303597    0.2382901 ]
[ 3.2096562  -1.3212739   1.2031182   0.47007295 -0.6610186   0.09320965
 -2.446709   -1.7561986   1.8251662  -0.5542692 ]
[ 2.5592656  -2.9137144  -0.24933381  1.4068059  -0.4887127  -0.6692264
 -2.0026248  -2.2966862   2.0014007   1.4640225 ]
()
174.0
[0.8000001, 1.0, 1.0]
[ 1.515889   -3.9120965  -0.07541622  2.1069288   1.9514554  -1.2439095
  3.407891   -1.0765982  -0.5724503   1.4009274 ]
